row,col,slope,aspect_sin,aspect_cos,rain_r7,elevation,river,twi,curvature,label
12553,5424,0.20738384,0.388057,0.9216354,81.474144,0.092634775,0.42844126,0.2821623,0.5025574,0.0
5293,7082,0.010430277,0.0,1.0,12.300821,0.22703113,0.00079579145,0.28374562,0.5025858,0.0
5768,2456,0.18285145,0.05547002,-0.99846035,67.469894,0.20463175,0.8359304,0.28284055,0.50259393,1.0
1492,2177,0.04294373,-0.9701425,0.24253562,29.576889,0.26993167,0.6590884,0.2803334,0.5025812,0.0
5046,1340,0.08297659,1.2246469e-16,-1.0,76.286736,0.07820805,0.9230253,0.28554133,0.50259334,1.0
13047,8247,0.05203983,-1.0,-1.8369701e-16,26.827198,0.30941534,0.9823641,0.2824064,0.5025649,0.0
4449,566,0.010430277,1.2246469e-16,-1.0,84.442764,0.0030372057,0.71774006,0.29327846,0.502569,1.0
8168,5594,0.020854957,-1.0,-1.8369701e-16,35.64044,0.24715263,0.85304534,0.284944,0.50258464,0.0
10651,9228,0.023314469,0.8944272,-0.4472136,26.359108,0.32346243,0.004491396,0.2848339,0.5025771,0.0
8880,6271,0.23889938,0.29116163,0.95667386,42.028465,0.50949126,0.6234404,0.28207153,0.50259453,1.0
12106,5753,0.05203983,0.8,-0.6,71.07158,0.04859529,0.834634,0.27695248,0.5025864,1.0
274,2882,0.020854957,1.0,6.123234e-17,17.076488,0.26993167,0.0137190875,0.28646412,0.50260264,0.0
11190,4777,0.05203983,0.8,-0.6,79.7108,0.04252088,0.89386296,0.27781343,0.5025069,0.0
12615,5452,0.18627127,-0.3807498,-0.9246781,81.58262,0.11047836,0.4049986,0.28170875,0.50252724,1.0
2640,1113,0.13701425,-0.2248595,0.9743912,58.226643,0.25854215,0.6185132,0.28162026,0.5025992,0.0
9008,6623,0.24607167,0.7649112,0.6441358,31.20196,0.40584663,0.490522,0.28221703,0.5026154,0.0
3554,1423,0.24516867,-0.24253562,0.9701425,58.913513,0.23348519,0.36325592,0.2820285,0.5025667,1.0
3937,2417,0.10389993,0.9950372,-0.09950372,44.95158,0.19400153,0.6932182,0.28246427,0.5025388,0.0
1621,136,0.10540407,0.19611613,-0.9805807,0.0,0.0098709185,0.017338432,0.2822161,0.5026421,0.0
8778,8642,0.023314469,-0.8944272,-0.4472136,14.781752,0.27790433,0.0015146278,0.28351718,0.50257134,0.0
5290,1172,0.010430277,1.0,6.123234e-17,80.861275,0.00531511,0.9956938,0.29327846,0.5026009,1.0
12729,5992,0.15210888,0.3363364,0.9417419,66.79442,0.38724375,0.80807203,0.28195474,0.50262815,1.0
11914,5985,0.44907215,0.5002776,-0.86586505,61.398235,0.3033409,0.45563394,0.28022242,0.5025638,1.0
7996,4243,0.05203983,0.6,0.8,56.066174,0.24221715,0.8512598,0.28842652,0.50258005,0.0
11045,5313,0.31991455,-0.17888544,0.9838699,73.28056,0.13895217,0.48935506,0.28087884,0.50262177,1.0
5401,2998,0.12443163,0.41380295,0.9103665,49.11147,0.20652999,0.6816814,0.28198862,0.5025986,1.0
6809,1800,0.01474932,0.70710677,-0.70710677,87.57898,0.0060744113,0.84549475,0.2947435,0.5025644,1.0
13794,6435,0.079033196,0.91914505,0.3939193,66.31157,0.34244496,0.89577484,0.2811947,0.50258815,1.0
7471,3966,0.037566602,-0.5547002,0.8320503,56.267014,0.24069856,0.85067064,0.28546187,0.5025655,1.0
5708,3664,0.020854957,0.0,1.0,37.97101,0.22285497,0.9053832,0.28740448,0.50255567,0.0
3192,1881,0.1240155,0.99654573,0.08304548,48.423645,0.19627942,0.6760992,0.28298813,0.5025905,1.0
14172,6211,0.21097669,1.0,6.123234e-17,66.83162,0.04328018,0.26023751,0.28154472,0.50262934,1.0
14355,5772,0.21449143,0.98233855,-0.18711211,69.28178,0.04745634,0.07127445,0.28244734,0.5024872,0.0
3554,1422,0.2524383,-0.50872934,0.8609265,58.93517,0.23196658,0.36223167,0.28155673,0.5025632,1.0
10953,10023,0.041665252,1.0,6.123234e-17,26.577778,0.29233107,0.0008013734,0.28447282,0.502569,0.0
17328,9038,0.09377447,-0.11043153,0.9938837,0.0,0.8974943,0.007403894,0.2816845,0.5024367,0.0
1693,975,0.27764097,-0.9844276,-0.17579064,56.620068,0.26993167,0.22556044,0.28408176,0.5024634,0.0
9023,4601,0.17548648,-0.98478353,0.17378533,63.251762,0.24905087,0.85849386,0.28228307,0.5025655,1.0
16628,9878,0.12443163,0.41380295,0.9103665,0.0,0.8583903,0.041655384,0.2807299,0.5025864,0.0
12615,5451,0.22460459,-0.533993,-0.8454889,81.60024,0.10895976,0.40623546,0.28221354,0.5025475,1.0
16099,8245,0.06324172,0.9863939,-0.16439898,0.0,0.36256644,0.037349027,0.28608602,0.50251853,0.0
11998,5993,0.15473218,-0.9912279,0.13216372,62.96394,0.20007592,0.47948867,0.28441,0.50262296,1.0
6591,4722,0.0,-1.0,-1.8369701e-16,28.280323,0.23766135,0.9598864,0.64174473,0.5025893,0.0
6966,4344,0.032956913,-0.31622776,-0.9486833,37.73061,0.24031891,0.92938113,0.27582893,0.5025829,0.0
6192,6986,0.010430277,-1.0,-1.8369701e-16,14.700601,0.22361428,0.0035439364,0.29327846,0.502558,0.0
17706,8070,0.079033196,-0.3939193,0.91914505,0.0,0.030372057,0.0008248239,0.282667,0.5025725,0.0
10704,5029,0.01474932,0.70710677,0.70710677,76.372055,0.044039484,0.7312937,0.2947435,0.50260204,1.0
